time,in_temp
2021-02-04 10:33:00+00:00,
2021-02-04 10:34:00+00:00,13.8
2021-02-04 10:35:00+00:00,14.2
2021-02-04 10:36:00+00:00,14.8
2021-02-04 10:37:00+00:00,15.3
2021-02-04 10:38:00+00:00,15.8
2021-02-04 10:39:00+00:00,16.3
2021-02-04 10:40:00+00:00,16.7
2021-02-04 10:41:00+00:00,17.0
2021-02-04 10:42:00+00:00,17.3
2021-02-04 10:43:00+00:00,17.6
2021-02-04 10:44:00+00:00,17.8
2021-02-04 10:45:00+00:00,18.0
2021-02-04 10:46:00+00:00,18.2
2021-02-04 10:47:00+00:00,18.3
2021-02-04 10:48:00+00:00,18.5
2021-02-04 10:49:00+00:00,18.6
2021-02-04 10:50:00+00:00,18.8
2021-02-04 10:51:00+00:00,18.89
2021-02-04 10:52:00+00:00,19.0
2021-02-04 10:53:00+00:00,19.1
2021-02-04 10:54:00+00:00,19.1
2021-02-04 10:55:00+00:00,19.2
2021-02-04 10:56:00+00:00,19.3
2021-02-04 10:57:00+00:00,19.39
2021-02-04 10:58:00+00:00,19.39
2021-02-04 10:59:00+00:00,19.5
2021-02-04 11:00:00+00:00,19.5
2021-02-04 11:01:00+00:00,19.6
2021-02-04 11:02:00+00:00,19.6
2021-02-04 11:03:00+00:00,19.7
2021-02-04 11:04:00+00:00,19.7
2021-02-04 11:05:00+00:00,19.7
2021-02-04 11:06:00+00:00,19.7
2021-02-04 11:07:00+00:00,19.8
2021-02-04 11:08:00+00:00,19.8
2021-02-04 11:09:00+00:00,19.8
2021-02-04 11:10:00+00:00,19.89
2021-02-04 11:11:00+00:00,19.89
2021-02-04 11:12:00+00:00,19.89
2021-02-04 11:13:00+00:00,19.89
2021-02-04 11:15:00+00:00,20.0
2021-02-04 11:16:00+00:00,20.0
2021-02-04 11:17:00+00:00,20.0
2021-02-04 11:18:00+00:00,20.0
2021-02-04 11:19:00+00:00,20.0
2021-02-04 11:20:00+00:00,20.0
2021-02-04 11:21:00+00:00,20.0
2021-02-04 11:22:00+00:00,20.0
2021-02-04 11:23:00+00:00,20.0
2021-02-04 11:24:00+00:00,
2021-02-04 11:26:00+00:00,
2021-02-04 11:27:00+00:00,
2021-02-04 11:28:00+00:00,
2021-02-04 11:29:00+00:00,
2021-02-04 11:30:00+00:00,
2021-02-04 11:31:00+00:00,
2021-02-04 11:32:00+00:00,
2021-02-04 11:33:00+00:00,
2021-02-04 11:34:00+00:00,
2021-02-04 11:35:00+00:00,
2021-02-04 11:36:00+00:00,
2021-02-04 11:37:00+00:00,
2021-02-04 11:38:00+00:00,
2021-02-04 11:39:00+00:00,
2021-02-04 11:40:00+00:00,
2021-02-04 11:41:00+00:00,
2021-02-04 11:42:00+00:00,
2021-02-04 11:43:00+00:00,
2021-02-04 11:45:00+00:00,
2021-02-04 11:46:00+00:00,
2021-02-04 11:47:00+00:00,
2021-02-04 11:48:00+00:00,
2021-02-04 11:49:00+00:00,
2021-02-04 11:50:00+00:00,
2021-02-04 11:51:00+00:00,
2021-02-04 11:52:00+00:00,
2021-02-04 11:53:00+00:00,
2021-02-04 11:54:00+00:00,
2021-02-04 11:55:00+00:00,
2021-02-04 11:56:00+00:00,
2021-02-04 11:57:00+00:00,
2021-02-04 12:00:00+00:00,
2021-02-04 12:01:00+00:00,
2021-02-04 12:02:00+00:00,
2021-02-04 12:03:00+00:00,
2021-02-04 12:05:00+00:00,
2021-02-04 12:06:00+00:00,20.2
2021-02-04 12:08:00+00:00,20.2
2021-02-04 12:09:00+00:00,20.2
2021-02-04 12:10:00+00:00,20.2
2021-02-04 12:11:00+00:00,20.2
2021-02-04 12:14:00+00:00,20.2
2021-02-04 12:15:00+00:00,20.2
2021-02-04 12:16:00+00:00,20.2
2021-02-04 12:17:00+00:00,20.2
2021-02-04 12:19:00+00:00,20.2
2021-02-04 12:20:00+00:00,20.2
2021-02-04 12:21:00+00:00,
2021-02-04 12:22:00+00:00,
