,time,in_ciai,in_cici,in_cici_co2,in_cici_humi,in_cici_noise,in_cici_pm10,in_cici_pm25,in_cici_temp,in_cici_voc,in_co2,in_humi,in_noise,in_pm01,in_pm01_raw,in_pm10,in_pm10_raw,in_pm25,in_pm25_raw,in_temp,in_voc
0,2021-02-04 10:33:00+00:00,53.0,57.0,0.0,80.0,80.0,93.0,93.0,80.0,80.0,-9999.0,-9999.0,-9999.0,19.0,19.0,20.0,20.0,11.0,11.0,-9994.004,-9999.0
1,2021-02-04 10:34:00+00:00,67.0,60.0,88.0,54.0,69.0,94.0,93.0,49.0,31.0,552.0,22.0,61.0,19.0,19.0,19.0,19.0,11.0,11.0,13.787722,4396.0
2,2021-02-04 10:35:00+00:00,69.0,65.0,87.0,50.0,67.0,94.0,93.0,53.0,36.0,597.0,20.0,62.0,18.0,18.0,18.0,18.0,10.0,10.0,14.187523,3421.0
3,2021-02-04 10:36:00+00:00,73.0,66.0,88.0,47.0,79.0,94.0,93.0,62.0,45.0,540.0,19.0,56.0,17.0,17.0,17.0,17.0,10.0,10.0,14.787222,1694.0
4,2021-02-04 10:37:00+00:00,76.0,69.0,89.0,47.0,80.0,94.0,93.0,70.0,51.0,521.0,19.0,54.0,17.0,17.0,18.0,18.0,10.0,10.0,15.286972,975.0
5,2021-02-04 10:38:00+00:00,82.0,78.0,89.0,50.0,81.0,94.0,94.0,77.0,67.0,509.0,20.0,52.0,16.0,16.0,17.0,17.0,9.0,9.0,15.786722,657.0
6,2021-02-04 10:39:00+00:00,86.0,83.0,89.0,47.0,81.0,94.0,94.0,81.0,77.0,513.0,19.0,52.0,16.0,16.0,18.0,18.0,9.0,9.0,16.28647,449.0
7,2021-02-04 10:40:00+00:00,90.0,87.0,89.0,47.0,81.0,94.0,94.0,83.0,83.0,508.0,19.0,53.0,15.0,15.0,17.0,17.0,9.0,9.0,16.686272,333.0
8,2021-02-04 10:41:00+00:00,91.0,88.0,89.0,47.0,81.0,95.0,94.0,85.0,87.0,515.0,19.0,52.0,16.0,16.0,16.0,16.0,9.0,9.0,16.98612,250.0
9,2021-02-04 10:42:00+00:00,92.0,89.0,89.0,47.0,82.0,95.0,94.0,86.0,89.0,519.0,19.0,51.0,16.0,16.0,16.0,16.0,9.0,9.0,17.285973,203.0
10,2021-02-04 10:43:00+00:00,92.0,89.0,89.0,47.0,81.0,94.0,94.0,88.0,92.0,520.0,19.0,53.0,16.0,16.0,17.0,17.0,9.0,9.0,17.585821,167.0
11,2021-02-04 10:44:00+00:00,92.0,89.0,89.0,47.0,82.0,94.0,93.0,89.0,93.0,519.0,19.0,51.0,17.0,17.0,18.0,18.0,10.0,10.0,17.78572,134.0
